album,artist,genre,subgenres
Man On The Moon II: The Legend Of Mr. Rager,Kid Cudi,Hip Hop,"Alternative Hip Hop, Cloud Rap, Electronic Hip Hop, Emo Rap, Pop Rap, Psychedelic Hip Hop, Psychedelic Rock, Trip Hop"
Master of Reality,Black Sabbath,Rock,"Doom Metal, Hard Rock, Heavy Metal, Heavy Psychedelia, Proto-Doom Metal, Stoner Rock"
Meddle,Pink Floyd,Rock,"Ambient Rock, Art Rock, Classic Rock, Progressive Rock, Psychedelic Folk, Psychedelic Rock, Space Rock"
Melophobia,Cage The Elephant,Rock,"Alternative Rock, Art Rock, Garage Rock Revival, Indie Rock, Post-Punk Revival, Psychedelic Rock, Punk Rock"
MM..FOOD,MF DOOM,Hip Hop,"Abstract Hip Hop, Alternative Hip Hop, Boom Bap, Experimental Hip Hop, Instrumental Hip Hop, Jazz Rap, Progressive Hip Hop, Underground Hip Hop"
A Momentary Lapse of Reason,Pink Floyd,Rock,"Ambient Rock, Art Rock, Arena Rock, Classic Rock, Pop Rock, Progressive Rock, Psychedelic Rock, Soft Rock"
Monster,Future,Hip Hop,"Atlanta Hip Hop, Dark Trap, Mumble Rap, Pop Rap, Southern Hip Hop, Trap"
More Life,Drake,Hip Hop,"Afrobeat, Alternative R&B, Dancehall, Grime, Pop Rap, Trap, Tropical House, UK Garage"
Morrison Hotel,The Doors,Rock,"Acid Rock, Blues Rock, Classic Rock, Hard Rock, Folk Rock, Psychedelic Rock"
Mr. Morale & The Big Steppers,Kendrick Lamar,Hip Hop,"Alternative Hip Hop, Conscious Hip Hop, Contemporary R&B, Experimental Hip Hop, Jazz Rap, Neo-Soul, Progressive Hip Hop"
My Beautiful Dark Twisted Fantasy,Kanye West,Hip Hop,"Alternative Hip Hop, Art Pop, Baroque Pop, Electro-Rap, Industrial Hip Hop, Pop Rap, Progressive Hip Hop, Psychedelic Hip Hop"
Nevermind,Nirvana,Rock,"Alternative Rock, Grunge, Hard Rock, Pop Rock, Post-Punk, Punk Rock"
Norman Fucking Rockwell!,Lana Del Rey,Pop,
NOT ALL HEROES WEAR CAPES,Metro Boomin,Hip Hop,
Nothing Was The Same,Drake,Hip Hop,
Obscured by Clouds,Pink Floyd,Rock,
Paranoid,Black Sabbath,Rock,
The Perfect LUV Tape,Lil Uzi Vert,Hip Hop,
Pink Tape,Lil Uzi Vert,Hip Hop,
The Piper at the Gates of Dawn,Pink Floyd,Rock,
Playboi Carti,Playboi Carti,Hip Hop,
Pony,Rex Orange Country,Pop,
Pure Heroine,Lorde,Pop,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
